"","AWS","Azure","Google Cloud"
"AI containers","AWS Deep Learning Containers","GPU support on Azure Kubernetes Service (AKS)","Deep Learning Containers"
"AI-powered assistant","Amazon Q","Azure OpenAI Service","Gemini for Google Cloud"
"AI prediction human review and moderation","Amazon Augmented AI (A2I)","Azure AI Content Safety","N/A"
"Chatbot builder","Amazon Lex","Azure AI Bot Service, Azure Health Bot, Azure AI Language question answering","Dialogflow"
"Data labeling","Amazon SageMaker Ground Truth","Azure Machine Learning data labeling","Vertex AI data labeling"
"Document extraction and content analysis","Amazon Textract","Azure AI Document Intelligence","Document AI"
"Generative AI platforms","Amazon Bedrock","Azure OpenAI Service","Vertex AI"
"Image recognition and analysis","Amazon Rekognition","Azure AI Vision","Vision AI"
"Inference accelerator","Amazon Elastic Inference, AWS Inferentia","GPU support on AKS","Cloud Tensor Processing Unit (TPU), Edge TPU"
"Language translation","Amazon Translate","Azure AI Translator","Translation AI"
"Machine learning and AI chips","AWS Inferentia, AWS Trainium","Azure Maia 100","Cloud TPU, Trillium TPU"
"Managed machine learning platform","Amazon SageMaker","Azure Machine Learning","TensorFlow Enterprise, Vertex AI"
"Notebooks","Amazon EMR Notebooks","Azure Notebooks","Colab Enterprise, Vertex AI Workbench"
"Online fraud detection","Amazon Fraud Detector","Azure AI Anomaly Detector, Azure Event Hubs and Stream Analytics","reCAPTCHA Enterprise"
"Preconfigured images/VMs for deep learning","AWS Deep Learning Amazon Machine Images (DLAMI)","Data Science Virtual Machine (DSVM)","Deep Learning VM Image"
"Recommendation integration","Amazon Personalize","Azure AI Personalizer","Recommendations"
"Speech recognition and generator","Amazon Transcribe, Amazon Polly","Azure AI Speech","Speech-to-Text API, Text-to-Speech API"
"Text analysis","Amazon Comprehend","Azure AI Language","Natural Language API"
"Time-series forecasting","Amazon Forecast","AutoML in Azure Machine Learning","TimesFM, forecasting with AutoML in Vertex AI"
"Video analysis","Amazon Rekognition Video","Azure AI Video Indexer","Video Intelligence API"
"Visual inspection","Amazon Lookout for Vision","Azure AI Custom Vision","Visual Inspection AI"
