"","AWS","Azure","Google Cloud"
"Audit and compliance reports and controls","AWS Artifact, AWS Audit Manager","Microsoft Service Trust Portal (STP)","Assured Workloads"
"Centralized security management","AWS Security Hub","Microsoft Defender for Cloud","Security Command Center (SCC)"
"Certificate management","AWS Certificate Manager","Azure App Service certificate","Certificate Authority Service"
"Confidential computing","AWS Nitro Enclaves","Azure confidential computing","Confidential Computing"
"Container security","Amazon ECR","Microsoft Defender for Containers","Artifact Analysis, Binary Authorization"
"Data discovery and classification","Amazon Macie","Azure Data Catalog, Azure Information Protection","Data Catalog, Cloud Data Loss Prevention (DLP) in Sensitive Data Protection"
"Distributed denial-of-service (DDoS) protection","AWS Shield","Azure DDoS Protection","Google Cloud Armor"
"End-user identity management","Amazon Cognito","Azure Active Directory (AD) B2C","Firebase Authentication"
"Firewall management","AWS Firewall Manager, AWS Network Firewall, AWS Web Application Firewall (WAF)","Azure Firewall, Azure Web Application Firewall (WAF)","Cloud Next Generation Firewall (NGFW)"
"Identity and access management","AWS Identity and Access Management (IAM), Amazon Cognito","Azure AD B2C, Microsoft Entra External ID","Identity Platform, Firebase Authentication"
"Key management","AWS Key Management Service (KMS), AWS Cloud Hardware Security Module (CloudHSM)","Azure Key Vault, Azure Dedicated HSM","Cloud Key Management, Cloud HSM"
"Microsoft AD-compatible directory service","AWS Directory Service for Microsoft AD","Microsoft Entra Domain Services","Managed Service for Microsoft AD"
"Regulated services","AWS GovCloud","Azure Government","Assured Workloads"
"Resource access management","AWS Resource Access Manager","Azure Resource Manager","Resource Manager"
"Secrets management","AWS Secrets Manager","Azure Key Vault","Secret Manager"
"Secure access based on identity and/or context","AWS Verified Access","Microsoft Entra application proxy","Identity-Aware Proxy (IAP)"
"Sign-off for cloud provider data access requests","N/A","Customer Lockbox for Microsoft Azure","Access Transparency and Access Approval"
"Single sign-on (SSO)","AWS IAM Identity Center","Microsoft Entra Single Sign-On","Cloud Identity"
"Threat detection","Amazon Detective, Amazon GuardDuty","Microsoft Defender for Cloud, Microsoft Sentinel","SCC"
"Vulnerability scanning","Amazon Inspector","Microsoft Defender for Cloud","Web Security Scanner"
